Date,Direction,Stock,Sentiment,Count
11/11/2020,1,amzn,1,1
11/10/2020,-1,amzn,1,4
11/9/2020,-1,amzn,0,2
11/6/2020,1,amzn,1,2
11/4/2020,1,amzn,-1,1
11/3/2020,1,amzn,1,1
11/2/2020,-1,amzn,1,1
10/30/2020,-1,amzn,1,3
10/29/2020,1,amzn,1,3
10/28/2020,-1,amzn,1,2
10/27/2020,1,amzn,1,3
10/26/2020,1,amzn,0,2
10/23/2020,1,amzn,1,1
10/22/2020,-1,amzn,1,1
10/21/2020,-1,amzn,1,1
10/20/2020,-1,amzn,1,1
10/16/2020,-1,amzn,-1,1
10/15/2020,1,amzn,1,4
10/14/2020,-1,amzn,0.6,5
10/13/2020,-1,amzn,1,2
10/12/2020,1,amzn,0.666666667,6
10/9/2020,1,amzn,1,2
10/8/2020,-1,amzn,0.5,4
10/7/2020,1,amzn,-0.2,5
10/6/2020,-1,amzn,0.6,5
10/5/2020,1,amzn,1,2
10/2/2020,-1,amzn,0,2
10/1/2020,1,amzn,1,3
9/30/2020,1,amzn,0.333333333,3
9/29/2020,-1,amzn,1,2
9/28/2020,1,amzn,1,3
9/25/2020,1,amzn,1,1
9/23/2020,-1,amzn,0.5,4
9/22/2020,1,amzn,1,3
9/21/2020,1,amzn,0.6,5
9/18/2020,-1,amzn,0.6,5
9/17/2020,-1,amzn,1,5
9/16/2020,-1,amzn,0,2
9/14/2020,-1,amzn,1,1
9/11/2020,-1,amzn,0,2
9/10/2020,-1,amzn,1,4
9/9/2020,1,amzn,1,1
9/8/2020,1,amzn,1,3
9/4/2020,-1,amzn,0.5,4
9/3/2020,-1,amzn,1,2
9/2/2020,-1,amzn,1,2
8/31/2020,1,amzn,1,1
8/28/2020,-1,amzn,1,2
8/27/2020,-1,amzn,1,1
8/26/2020,1,amzn,-1,1
8/20/2020,1,amzn,1,2
8/19/2020,-1,amzn,1,1
8/18/2020,1,amzn,0.666666667,6
8/17/2020,1,amzn,1,2
8/14/2020,-1,amzn,1,2
8/12/2020,1,amzn,1,4
8/11/2020,-1,amzn,1,2
8/10/2020,-1,amzn,0.333333333,3
8/7/2020,-1,amzn,1,2
8/6/2020,1,amzn,0,2
8/5/2020,1,amzn,1,3
8/3/2020,-1,amzn,1,1
7/31/2020,-1,amzn,1,6
7/30/2020,1,amzn,0.333333333,6
7/29/2020,1,amzn,1,3
7/28/2020,-1,amzn,1,2
7/27/2020,-1,amzn,1,3
7/24/2020,1,amzn,1,4
7/23/2020,-1,amzn,1,1
7/22/2020,-1,amzn,-0.333333333,3
7/21/2020,-1,amzn,0,4
7/20/2020,1,amzn,0.5,4
7/17/2020,-1,amzn,1,2
7/16/2020,1,amzn,0.6,5
7/15/2020,-1,amzn,0.6,5
7/14/2020,-1,amzn,1,7
7/13/2020,-1,amzn,0.6,10
7/10/2020,1,amzn,0.5,4
7/9/2020,1,amzn,0.142857143,7
7/8/2020,1,amzn,0.333333333,3
7/7/2020,-1,amzn,1,3
7/6/2020,1,amzn,0.333333333,3
7/2/2020,-1,amzn,0.333333333,3
7/1/2020,1,amzn,1,4
6/30/2020,1,amzn,1,1
6/29/2020,-1,amzn,1,1
6/26/2020,-1,amzn,1,3
6/25/2020,1,amzn,1,1
6/23/2020,1,amzn,1,2
6/22/2020,1,amzn,0,2
6/19/2020,-1,amzn,-1,2
6/18/2020,1,amzn,-1,1
6/17/2020,-1,amzn,1,1
6/16/2020,-1,amzn,1,1
6/11/2020,-1,amzn,0.333333333,3
6/10/2020,1,amzn,1,1
6/9/2020,1,amzn,1,2
6/8/2020,1,amzn,1,2
6/5/2020,1,amzn,1,1
6/4/2020,-1,amzn,0.333333333,3
6/2/2020,1,amzn,-1,1
5/29/2020,1,amzn,1,1
5/28/2020,1,amzn,1,1
5/27/2020,1,amzn,1,3
5/22/2020,-1,amzn,-1,1
5/21/2020,-1,amzn,1,2
5/20/2020,1,amzn,1,3
5/19/2020,1,amzn,1,2
5/18/2020,1,amzn,0,2
5/15/2020,1,amzn,0.333333333,3
5/14/2020,1,amzn,0,2
5/13/2020,1,amzn,-1,2
5/12/2020,-1,amzn,1,3
5/11/2020,1,amzn,1,4
5/8/2020,1,amzn,1,1
5/7/2020,-1,amzn,1,1
5/5/2020,-1,amzn,0,2
5/4/2020,1,amzn,1,1
5/1/2020,-1,amzn,0,2
4/30/2020,1,amzn,0.75,8
4/29/2020,1,amzn,0.333333333,3
4/28/2020,-1,amzn,0.5,4
4/27/2020,-1,amzn,1,1
4/24/2020,-1,amzn,0.333333333,3
4/23/2020,-1,amzn,-1,1
4/22/2020,-1,amzn,0.333333333,3
4/21/2020,-1,amzn,0.2,5
4/20/2020,1,amzn,-1,1
4/17/2020,1,amzn,-1,1
4/16/2020,1,amzn,1,6
4/15/2020,1,amzn,1,4
4/14/2020,1,amzn,0.333333333,6
4/13/2020,1,amzn,0.666666667,6
4/8/2020,1,amzn,-1,1
4/7/2020,-1,amzn,1,1
4/6/2020,1,amzn,1,1
4/3/2020,-1,amzn,1,2
3/31/2020,-1,amzn,0,2
3/27/2020,-1,amzn,1,1
3/26/2020,1,amzn,1,2
3/24/2020,-1,amzn,1,2
3/23/2020,1,amzn,0,2
3/20/2020,-1,amzn,0.333333333,3
3/19/2020,1,amzn,-1,1
3/18/2020,1,amzn,0,4
3/17/2020,1,amzn,1,1
3/16/2020,1,amzn,1,1
3/13/2020,1,amzn,0.333333333,3
3/11/2020,-1,amzn,1,1
3/9/2020,1,amzn,1,1
3/6/2020,1,amzn,1,1
3/5/2020,-1,amzn,1,1
3/2/2020,1,amzn,1,1
2/28/2020,1,amzn,-1,1
2/26/2020,1,amzn,1,1
2/25/2020,-1,amzn,1,2
2/24/2020,1,amzn,1,1
2/21/2020,-1,amzn,1,1
2/19/2020,1,amzn,-1,1
2/11/2020,-1,amzn,1,3
2/10/2020,1,amzn,1,1
2/4/2020,1,amzn,1,2
1/31/2020,-1,amzn,1,1
1/30/2020,1,amzn,1,6
1/27/2020,1,amzn,1,3
1/17/2020,-1,amzn,1,1
1/16/2020,-1,amzn,-1,1
1/15/2020,-1,amzn,1,1
1/13/2020,-1,amzn,1,2
1/10/2020,-1,amzn,1,1
1/9/2020,-1,amzn,0,2
1/8/2020,-1,amzn,0,2
1/7/2020,1,amzn,1,2
1/3/2020,1,amzn,1,1
1/2/2020,1,amzn,1,1
