Date,Direction,Stock,Sentiment,Count
11/12/2020,1,nio,0.538461538,26
11/11/2020,1,nio,0.894736842,19
11/10/2020,-1,nio,0.538461538,13
11/9/2020,1,nio,0.666666667,18
11/6/2020,1,nio,0.666666667,6
11/4/2020,1,nio,0.333333333,12
11/3/2020,1,nio,0.666666667,12
11/2/2020,-1,nio,0.875,16
10/30/2020,-1,nio,0.777777778,9
10/29/2020,1,nio,0.714285714,7
10/28/2020,-1,nio,0.333333333,6
10/27/2020,1,nio,1,2
10/23/2020,-1,nio,1,7
10/22/2020,-1,nio,-1,1
10/21/2020,-1,nio,1,4
10/20/2020,1,nio,1,4
10/19/2020,-1,nio,0.333333333,3
10/16/2020,-1,nio,1,5
10/15/2020,1,nio,0.75,16
10/14/2020,1,nio,0.857142857,14
10/13/2020,-1,nio,0.333333333,3
10/12/2020,-1,nio,1,2
10/9/2020,-1,nio,1,2
10/8/2020,-1,nio,1,3
10/7/2020,1,nio,1,2
10/6/2020,-1,nio,0.5,4
10/5/2020,-1,nio,1,3
10/2/2020,1,nio,1,7
10/1/2020,1,nio,1,1
9/30/2020,-1,nio,1,3
9/29/2020,1,nio,1,8
9/28/2020,-1,nio,1,1
9/25/2020,1,nio,1,1
9/24/2020,1,nio,1,4
9/23/2020,-1,nio,1,1
9/21/2020,-1,nio,1,1
9/18/2020,-1,nio,1,3
9/15/2020,1,nio,1,2
9/11/2020,-1,nio,1,1
9/10/2020,-1,nio,1,1
9/9/2020,1,nio,1,1
9/8/2020,-1,nio,0.333333333,3
9/4/2020,-1,nio,1,3
9/3/2020,-1,nio,1,10
9/2/2020,-1,nio,1,6
9/1/2020,1,nio,0.333333333,6
8/31/2020,1,nio,0.5,4
8/28/2020,-1,nio,1,8
8/27/2020,-1,nio,0.090909091,11
8/26/2020,1,nio,0.636363636,22
8/25/2020,1,nio,1,12
8/24/2020,1,nio,1,3
8/20/2020,-1,nio,1,3
8/19/2020,-1,nio,1,1
8/18/2020,1,nio,1,4
8/17/2020,1,nio,1,2
8/14/2020,-1,nio,0,2
8/12/2020,-1,nio,1,2
8/11/2020,-1,nio,0.2,5
8/7/2020,-1,nio,1,1
8/6/2020,-1,nio,1,1
8/5/2020,1,nio,0,2
8/4/2020,-1,nio,1,2
8/3/2020,1,nio,1,1
7/31/2020,-1,nio,1,1
7/30/2020,-1,nio,0.333333333,3
7/29/2020,1,nio,1,3
7/28/2020,1,nio,1,1
7/27/2020,-1,nio,1,1
7/24/2020,1,nio,1,9
7/23/2020,-1,nio,0.333333333,3
7/22/2020,-1,nio,1,1
7/21/2020,-1,nio,1,2
7/20/2020,1,nio,0.333333333,6
7/17/2020,-1,nio,0.285714286,14
7/16/2020,1,nio,0.5,4
7/15/2020,-1,nio,1,5
7/14/2020,1,nio,1,7
7/13/2020,-1,nio,0.555555556,9
7/10/2020,-1,nio,0.545454545,22
7/9/2020,1,nio,0.625,16
7/8/2020,-1,nio,0.692307692,13
7/7/2020,1,nio,0.636363636,11
7/6/2020,1,nio,0.2,5
7/2/2020,1,nio,1,9
7/1/2020,1,nio,1,1
6/30/2020,1,nio,1,1
6/25/2020,1,nio,-1,1
6/24/2020,-1,nio,1,1
6/23/2020,-1,nio,1,1
6/22/2020,-1,nio,-1,1
6/17/2020,-1,nio,1,2
6/15/2020,1,nio,1,2
6/10/2020,-1,nio,1,1
6/9/2020,1,nio,0,4
6/5/2020,-1,nio,1,1
6/4/2020,-1,nio,1,2
6/3/2020,1,nio,1,2
6/2/2020,1,nio,1,1
5/28/2020,-1,nio,1,1
5/27/2020,1,nio,1,2
5/19/2020,1,nio,1,1
5/15/2020,-1,nio,1,1
5/11/2020,1,nio,1,1
5/1/2020,-1,nio,1,1
4/30/2020,-1,nio,-1,1
4/29/2020,-1,nio,1,1
4/22/2020,-1,nio,1,1
3/26/2020,1,nio,1,1
3/20/2020,-1,nio,1,1
3/17/2020,-1,nio,-1,1
3/11/2020,-1,nio,1,1
3/6/2020,-1,nio,1,1
3/5/2020,-1,nio,-1,1
3/4/2020,-1,nio,1,1
3/3/2020,-1,nio,1,1
3/2/2020,-1,nio,1,1
2/28/2020,1,nio,1,1
2/26/2020,-1,nio,-1,1
2/25/2020,-1,nio,1,2
2/19/2020,1,nio,1,1
2/11/2020,1,nio,1,1
2/3/2020,1,nio,1,1
1/31/2020,-1,nio,-1,1
1/28/2020,-1,nio,-1,1
1/22/2020,-1,nio,1,3
1/21/2020,1,nio,0,2
1/17/2020,1,nio,-1,1
1/16/2020,1,nio,1,1
1/15/2020,1,nio,1,1
1/10/2020,1,nio,1,1
1/7/2020,-1,nio,1,2
1/6/2020,-1,nio,1,1
1/3/2020,1,nio,1,1
