Date,Direction,Stock,Sentiment,Count
11/12/2020,-1,tsla,1,2
11/11/2020,1,tsla,1,1
11/10/2020,-1,tsla,0,2
11/9/2020,-1,tsla,0.333333333,3
11/6/2020,-1,tsla,0,2
11/3/2020,1,tsla,1,2
11/2/2020,1,tsla,0,2
10/30/2020,-1,tsla,1,3
10/29/2020,1,tsla,1,2
10/28/2020,-1,tsla,1,3
10/27/2020,1,tsla,1,2
10/26/2020,1,tsla,1,2
10/23/2020,-1,tsla,1,6
10/22/2020,-1,tsla,0,2
10/21/2020,-1,tsla,0.666666667,6
10/20/2020,-1,tsla,1,3
10/16/2020,-1,tsla,1,4
10/15/2020,-1,tsla,1,2
10/14/2020,1,tsla,1,3
10/13/2020,1,tsla,1,1
10/12/2020,1,tsla,-1,3
10/9/2020,1,tsla,1,2
10/8/2020,-1,tsla,0.5,4
10/7/2020,1,tsla,1,6
10/6/2020,-1,tsla,0.333333333,3
10/5/2020,1,tsla,1,5
10/2/2020,-1,tsla,1,4
9/30/2020,1,tsla,0.5,4
9/29/2020,1,tsla,1,7
9/28/2020,-1,tsla,1,4
9/24/2020,1,tsla,1,4
9/23/2020,-1,tsla,0.8,10
9/22/2020,-1,tsla,0.666666667,6
9/21/2020,-1,tsla,0.5,4
9/18/2020,-1,tsla,0.4,10
9/17/2020,1,tsla,0.5,4
9/16/2020,1,tsla,0.2,5
9/15/2020,1,tsla,1,1
9/14/2020,1,tsla,0.5,4
9/11/2020,-1,tsla,1,4
9/10/2020,-1,tsla,1,6
9/9/2020,1,tsla,0.6,5
9/8/2020,-1,tsla,0.5,12
9/4/2020,1,tsla,1,13
9/3/2020,-1,tsla,0.833333333,12
9/2/2020,-1,tsla,0.75,8
9/1/2020,-1,tsla,0.571428571,14
8/31/2020,1,tsla,0.444444444,18
8/28/2020,-1,tsla,0.714285714,14
8/27/2020,1,tsla,1,3
8/26/2020,1,tsla,0.4,10
8/25/2020,1,tsla,0.6,5
8/24/2020,-1,tsla,0.857142857,14
8/21/2020,1,tsla,0.692307692,13
8/20/2020,1,tsla,0.625,16
8/19/2020,1,tsla,1,8
8/18/2020,-1,tsla,1,13
8/17/2020,1,tsla,0.272727273,11
8/14/2020,-1,tsla,0.5,4
8/13/2020,1,tsla,1,2
8/12/2020,1,tsla,0.8,10
8/11/2020,-1,tsla,1,10
8/10/2020,-1,tsla,1,1
8/7/2020,-1,tsla,1,1
8/6/2020,-1,tsla,0,2
8/5/2020,-1,tsla,0.6,5
8/4/2020,-1,tsla,0.333333333,3
8/3/2020,1,tsla,1,3
7/31/2020,-1,tsla,1,4
7/30/2020,-1,tsla,-0.333333333,3
7/29/2020,-1,tsla,1,3
7/28/2020,-1,tsla,0.5,4
7/27/2020,1,tsla,0.6,5
7/24/2020,1,tsla,0.714285714,7
7/23/2020,-1,tsla,1,3
7/22/2020,-1,tsla,0.555555556,18
7/21/2020,-1,tsla,1,5
7/20/2020,1,tsla,1,6
7/17/2020,-1,tsla,0.6,5
7/16/2020,1,tsla,0.4,10
7/15/2020,1,tsla,0.666666667,12
7/14/2020,-1,tsla,0.6,15
7/13/2020,-1,tsla,0.421052632,38
7/10/2020,1,tsla,0.777777778,9
7/9/2020,-1,tsla,0.333333333,6
7/8/2020,-1,tsla,0.714285714,7
7/7/2020,-1,tsla,0.8,10
7/6/2020,1,tsla,0.833333333,12
7/2/2020,-1,tsla,0.75,8
7/1/2020,1,tsla,0.846153846,13
6/30/2020,1,tsla,0.333333333,3
6/29/2020,1,tsla,1,1
6/26/2020,-1,tsla,0,2
6/25/2020,1,tsla,1,1
6/24/2020,-1,tsla,1,2
6/23/2020,1,tsla,0.333333333,3
6/22/2020,-1,tsla,1,2
6/19/2020,-1,tsla,1,1
6/18/2020,1,tsla,1,2
6/17/2020,1,tsla,1,2
6/16/2020,-1,tsla,1,3
6/15/2020,1,tsla,1,3
6/12/2020,-1,tsla,1,1
6/11/2020,-1,tsla,1,2
6/10/2020,1,tsla,0.8,10
6/9/2020,1,tsla,0.333333333,3
6/8/2020,1,tsla,0,2
6/4/2020,-1,tsla,1,4
6/3/2020,-1,tsla,0.333333333,3
6/2/2020,-1,tsla,1,2
6/1/2020,1,tsla,1,3
5/29/2020,1,tsla,1,2
5/28/2020,-1,tsla,1,2
5/27/2020,-1,tsla,1,5
5/26/2020,-1,tsla,0.5,4
5/21/2020,1,tsla,1,1
5/18/2020,-1,tsla,1,1
5/15/2020,1,tsla,1,3
5/14/2020,1,tsla,0.2,5
5/13/2020,-1,tsla,0.6,5
5/12/2020,-1,tsla,1,2
5/11/2020,1,tsla,1,2
5/8/2020,1,tsla,1,2
5/7/2020,1,tsla,1,3
5/6/2020,1,tsla,0.5,4
5/5/2020,-1,tsla,1,3
5/4/2020,1,tsla,1,3
5/1/2020,-1,tsla,1,3
4/30/2020,-1,tsla,0.333333333,6
4/29/2020,1,tsla,0.666666667,6
4/28/2020,-1,tsla,0,4
4/27/2020,1,tsla,1,1
4/24/2020,1,tsla,0,2
4/23/2020,-1,tsla,0,2
4/22/2020,1,tsla,0.333333333,3
4/21/2020,-1,tsla,0.2,5
4/20/2020,1,tsla,1,2
4/17/2020,-1,tsla,1,5
4/16/2020,1,tsla,0.5,4
4/15/2020,-1,tsla,1,2
4/14/2020,1,tsla,0.142857143,7
4/13/2020,1,tsla,0.25,8
4/9/2020,1,tsla,0,2
4/8/2020,-1,tsla,0,2
4/7/2020,1,tsla,1,3
4/6/2020,1,tsla,1,1
4/3/2020,-1,tsla,0.6,5
4/2/2020,-1,tsla,1,4
4/1/2020,-1,tsla,1,4
3/27/2020,1,tsla,1,3
3/25/2020,-1,tsla,0.333333333,3
3/23/2020,1,tsla,1,4
3/20/2020,-1,tsla,0.6,5
3/19/2020,1,tsla,0,2
3/18/2020,-1,tsla,0.333333333,3
3/17/2020,-1,tsla,1,4
3/16/2020,-1,tsla,0,4
3/13/2020,-1,tsla,1,1
3/12/2020,-1,tsla,0.5,4
3/11/2020,-1,tsla,1,2
3/10/2020,-1,tsla,1,2
3/9/2020,1,tsla,1,2
3/6/2020,1,tsla,0.333333333,6
3/5/2020,1,tsla,1,2
3/3/2020,-1,tsla,0.2,5
3/2/2020,1,tsla,1,2
2/28/2020,1,tsla,0.5,4
2/27/2020,-1,tsla,0,2
2/26/2020,-1,tsla,0,4
2/25/2020,-1,tsla,1,3
2/24/2020,-1,tsla,0.333333333,3
2/21/2020,-1,tsla,1,6
2/20/2020,-1,tsla,0.333333333,3
2/19/2020,-1,tsla,1,5
2/18/2020,1,tsla,-0.333333333,3
2/14/2020,1,tsla,0.333333333,3
2/13/2020,1,tsla,0.25,8
2/12/2020,-1,tsla,0.333333333,6
2/11/2020,1,tsla,1,4
2/10/2020,-1,tsla,1,6
2/7/2020,1,tsla,1,2
2/6/2020,1,tsla,0.5,4
2/5/2020,-1,tsla,0.818181818,11
2/4/2020,1,tsla,0.555555556,27
2/3/2020,1,tsla,0.666666667,6
1/31/2020,1,tsla,1,1
1/30/2020,1,tsla,1,5
1/29/2020,1,tsla,1,10
1/27/2020,1,tsla,1,1
1/24/2020,-1,tsla,0.333333333,3
1/23/2020,1,tsla,0.5,4
1/22/2020,-1,tsla,1,2
1/21/2020,1,tsla,1,1
1/17/2020,1,tsla,1,2
1/16/2020,1,tsla,0.666666667,6
1/15/2020,-1,tsla,1,2
1/14/2020,-1,tsla,1,2
1/13/2020,1,tsla,0.4,10
1/10/2020,-1,tsla,1,1
1/9/2020,-1,tsla,1,5
1/8/2020,1,tsla,0.333333333,6
1/7/2020,1,tsla,1,1
1/3/2020,1,tsla,1,3
1/2/2020,1,tsla,1,2
