Date,Direction,Stock,Sentiment,Count
11/11/2020,1,aapl,1,4
11/10/2020,1,aapl,1,2
11/6/2020,1,aapl,0.333333333,3
11/2/2020,-1,aapl,0.5,4
10/30/2020,-1,aapl,-0.333333333,6
10/29/2020,1,aapl,0.75,8
10/28/2020,-1,aapl,0.5,4
10/27/2020,1,aapl,1,1
10/26/2020,1,aapl,1,5
10/23/2020,-1,aapl,0.5,8
10/22/2020,-1,aapl,1,3
10/21/2020,1,aapl,0,4
10/20/2020,1,aapl,-0.333333333,3
10/19/2020,-1,aapl,1,3
10/16/2020,-1,aapl,0.818181818,11
10/15/2020,1,aapl,0.714285714,7
10/14/2020,1,aapl,0.384615385,13
10/13/2020,-1,aapl,0.68,25
10/12/2020,1,aapl,0.5625,32
10/9/2020,1,aapl,1,2
10/8/2020,-1,aapl,1,2
10/6/2020,-1,aapl,0.428571429,7
10/5/2020,1,aapl,1,6
10/2/2020,1,aapl,1,4
10/1/2020,-1,aapl,-0.333333333,3
9/30/2020,1,aapl,1,5
9/29/2020,-1,aapl,0,2
9/28/2020,-1,aapl,0.555555556,9
9/25/2020,1,aapl,0.25,8
9/24/2020,1,aapl,1,3
9/23/2020,-1,aapl,0.5,12
9/22/2020,-1,aapl,-0.333333333,3
9/21/2020,1,aapl,0.6,10
9/18/2020,-1,aapl,0.294117647,17
9/17/2020,1,aapl,0.428571429,14
9/16/2020,-1,aapl,0.090909091,22
9/15/2020,-1,aapl,0.80952381,21
9/14/2020,1,aapl,0.636363636,11
9/11/2020,-1,aapl,0.5,16
9/10/2020,-1,aapl,0.416666667,24
9/9/2020,1,aapl,0.333333333,18
9/8/2020,-1,aapl,0.724137931,29
9/4/2020,1,aapl,0.368421053,38
9/3/2020,-1,aapl,0.384615385,52
9/2/2020,-1,aapl,0.586206897,29
9/1/2020,1,aapl,0.666666667,36
8/31/2020,1,aapl,0.52,25
8/28/2020,-1,aapl,0.434782609,46
8/27/2020,-1,aapl,1,16
8/26/2020,1,aapl,0.529411765,17
8/25/2020,1,aapl,0.529411765,17
8/24/2020,-1,aapl,0.647058824,34
8/21/2020,1,aapl,0.62962963,54
8/20/2020,1,aapl,0.444444444,18
8/19/2020,-1,aapl,0.655172414,29
8/18/2020,1,aapl,0.75,8
8/17/2020,-1,aapl,1,6
8/14/2020,1,aapl,0.5,4
8/13/2020,1,aapl,0.866666667,15
8/12/2020,1,aapl,0.6,5
8/11/2020,-1,aapl,-0.333333333,3
8/10/2020,1,aapl,1,8
8/7/2020,-1,aapl,0.6,5
8/6/2020,1,aapl,0.692307692,13
8/5/2020,1,aapl,0.6,5
8/4/2020,1,aapl,0.333333333,6
8/3/2020,1,aapl,0.466666667,15
7/31/2020,1,aapl,0.6875,32
7/30/2020,1,aapl,0.411764706,17
7/29/2020,1,aapl,1,2
7/28/2020,-1,aapl,1,4
7/27/2020,1,aapl,0.428571429,7
7/24/2020,1,aapl,1,3
7/23/2020,-1,aapl,1,5
7/22/2020,1,aapl,1,1
7/21/2020,-1,aapl,0.2,5
7/20/2020,1,aapl,0.333333333,6
7/17/2020,-1,aapl,-1,1
7/15/2020,-1,aapl,1,2
7/14/2020,1,aapl,1,1
7/13/2020,-1,aapl,0.6,5
7/10/2020,1,aapl,0.777777778,9
7/9/2020,-1,aapl,0,2
7/8/2020,1,aapl,1,4
7/7/2020,-1,aapl,1,4
7/2/2020,-1,aapl,1,1
7/1/2020,-1,aapl,1,4
6/30/2020,1,aapl,1,2
6/25/2020,1,aapl,1,3
6/24/2020,-1,aapl,0,4
6/23/2020,1,aapl,0.666666667,6
6/22/2020,1,aapl,0.333333333,3
6/19/2020,-1,aapl,1,3
6/18/2020,1,aapl,-1,1
6/17/2020,-1,aapl,1,2
6/16/2020,1,aapl,1,1
6/15/2020,1,aapl,0.333333333,3
6/12/2020,-1,aapl,0,2
6/11/2020,-1,aapl,0,6
6/10/2020,1,aapl,0.5,4
6/9/2020,1,aapl,0.5,4
6/8/2020,1,aapl,-1,1
6/5/2020,1,aapl,0.333333333,3
6/4/2020,-1,aapl,1,1
6/2/2020,1,aapl,1,1
5/29/2020,-1,aapl,1,1
5/28/2020,1,aapl,1,1
5/27/2020,1,aapl,1,1
5/26/2020,-1,aapl,1,2
5/20/2020,1,aapl,0,2
5/19/2020,-1,aapl,1,1
5/18/2020,1,aapl,1,1
5/15/2020,1,aapl,0.333333333,3
5/14/2020,1,aapl,-1,1
5/13/2020,-1,aapl,0,2
5/11/2020,1,aapl,1,1
5/6/2020,1,aapl,1,1
5/4/2020,1,aapl,1,1
5/1/2020,1,aapl,1,3
4/30/2020,1,aapl,0.294117647,17
4/29/2020,1,aapl,0.6,10
4/28/2020,-1,aapl,1,2
4/27/2020,1,aapl,1,1
4/24/2020,1,aapl,0,2
4/23/2020,-1,aapl,-1,1
4/22/2020,1,aapl,1,1
4/21/2020,-1,aapl,0.333333333,3
4/20/2020,-1,aapl,1,2
4/17/2020,-1,aapl,0.555555556,9
4/16/2020,-1,aapl,1,6
4/15/2020,1,aapl,-1,1
4/14/2020,1,aapl,0.333333333,6
4/13/2020,1,aapl,0.2,5
4/9/2020,-1,aapl,1,2
4/6/2020,1,aapl,0,2
4/3/2020,-1,aapl,1,2
4/2/2020,1,aapl,1,1
4/1/2020,-1,aapl,1,5
3/31/2020,-1,aapl,0,2
3/30/2020,1,aapl,1,2
3/27/2020,-1,aapl,1,1
3/26/2020,1,aapl,1,2
3/25/2020,-1,aapl,1,2
3/24/2020,1,aapl,1,3
3/23/2020,-1,aapl,1,3
3/20/2020,-1,aapl,0.666666667,6
3/19/2020,-1,aapl,1,1
3/18/2020,1,aapl,0.75,8
3/17/2020,1,aapl,1,4
3/16/2020,1,aapl,0.714285714,7
3/13/2020,1,aapl,0.5,4
3/12/2020,-1,aapl,0,2
3/11/2020,-1,aapl,0.5,4
3/10/2020,1,aapl,0.5,4
3/9/2020,1,aapl,1,7
3/6/2020,1,aapl,1,3
3/5/2020,-1,aapl,1,1
3/4/2020,1,aapl,0.333333333,3
3/3/2020,-1,aapl,0.5,4
3/2/2020,1,aapl,-0.5,4
2/28/2020,1,aapl,0.714285714,7
2/27/2020,-1,aapl,0.777777778,9
2/26/2020,1,aapl,1,5
2/25/2020,-1,aapl,0.6,5
2/24/2020,1,aapl,1,6
2/21/2020,-1,aapl,0.2,5
2/20/2020,-1,aapl,0.6,5
2/19/2020,1,aapl,0.6,5
2/18/2020,1,aapl,1,9
2/14/2020,1,aapl,1,4
2/13/2020,1,aapl,1,1
2/12/2020,1,aapl,1,3
2/11/2020,-1,aapl,0.333333333,6
2/10/2020,1,aapl,1,5
2/7/2020,-1,aapl,1,1
2/6/2020,1,aapl,1,1
2/5/2020,-1,aapl,0,2
2/4/2020,1,aapl,0,6
2/3/2020,1,aapl,1,2
1/31/2020,-1,aapl,0.555555556,9
1/30/2020,1,aapl,1,2
1/29/2020,-1,aapl,0.333333333,6
1/28/2020,1,aapl,0.555555556,18
1/27/2020,-1,aapl,1,8
1/24/2020,-1,aapl,0.333333333,3
1/23/2020,1,aapl,-0.2,5
1/22/2020,-1,aapl,0.333333333,6
1/21/2020,-1,aapl,1,1
1/17/2020,1,aapl,1,4
1/16/2020,1,aapl,0.6,5
1/15/2020,-1,aapl,0.5,8
1/14/2020,-1,aapl,0.692307692,13
1/13/2020,1,aapl,0.25,8
1/10/2020,-1,aapl,0.6,5
1/9/2020,1,aapl,0.142857143,7
1/8/2020,1,aapl,1,3
1/7/2020,-1,aapl,1,1
1/6/2020,1,aapl,0,2
1/3/2020,1,aapl,1,3
1/2/2020,1,aapl,0,4
