Date,Direction,Stock,Sentiment,Count
11/12/2020,-1,amzn,0,2
11/11/2020,1,amzn,1,1
11/10/2020,-1,amzn,1,3
11/9/2020,-1,amzn,0.333333333,6
11/6/2020,1,amzn,1,1
11/4/2020,1,amzn,0.333333333,3
11/2/2020,-1,amzn,1,1
10/30/2020,-1,amzn,1,3
10/29/2020,1,amzn,1,10
10/28/2020,-1,amzn,0.5,4
10/26/2020,1,amzn,-1,1
10/23/2020,1,amzn,0,2
10/22/2020,-1,amzn,1,6
10/21/2020,-1,amzn,-0.333333333,3
10/20/2020,-1,amzn,1,2
10/19/2020,-1,amzn,1,2
10/16/2020,-1,amzn,0.555555556,9
10/15/2020,1,amzn,1,2
10/14/2020,-1,amzn,0.333333333,6
10/13/2020,-1,amzn,1,4
10/12/2020,1,amzn,1,10
10/9/2020,1,amzn,0.333333333,3
10/8/2020,-1,amzn,0.333333333,3
10/7/2020,1,amzn,1,2
10/6/2020,-1,amzn,1,2
10/5/2020,1,amzn,0.333333333,3
10/2/2020,-1,amzn,1,2
10/1/2020,1,amzn,0.5,4
9/29/2020,-1,amzn,0.333333333,3
9/28/2020,1,amzn,1,1
9/25/2020,1,amzn,1,2
9/23/2020,-1,amzn,0.5,4
9/21/2020,1,amzn,1,2
9/18/2020,-1,amzn,0.6,5
9/17/2020,-1,amzn,0.666666667,6
9/16/2020,-1,amzn,-1,1
9/15/2020,1,amzn,1,3
9/14/2020,-1,amzn,0,4
9/11/2020,-1,amzn,0.333333333,3
9/9/2020,1,amzn,1,1
9/8/2020,1,amzn,-0.333333333,3
9/4/2020,-1,amzn,0.5,8
9/3/2020,-1,amzn,0.333333333,6
9/2/2020,-1,amzn,1,9
9/1/2020,1,amzn,0.8,10
8/31/2020,1,amzn,0.5,4
8/28/2020,-1,amzn,0.333333333,6
8/27/2020,-1,amzn,1,5
8/26/2020,1,amzn,1,12
8/25/2020,1,amzn,0.5,4
8/24/2020,-1,amzn,0.5,4
8/21/2020,-1,amzn,1,3
8/20/2020,1,amzn,0.666666667,12
8/19/2020,-1,amzn,0.333333333,6
8/18/2020,1,amzn,0.636363636,11
8/17/2020,1,amzn,0.5,4
8/14/2020,-1,amzn,0.666666667,6
8/13/2020,-1,amzn,0,2
8/12/2020,1,amzn,0.666666667,6
8/11/2020,-1,amzn,0.428571429,7
8/10/2020,-1,amzn,1,3
8/7/2020,-1,amzn,1,2
8/6/2020,1,amzn,0.333333333,3
8/5/2020,1,amzn,0.5,4
8/4/2020,1,amzn,0.4,10
8/3/2020,-1,amzn,-0.2,5
7/31/2020,-1,amzn,0.8,10
7/30/2020,1,amzn,0.384615385,26
