Date,Direction,Stock,Sentiment,Count
11/12/2020,1,nio,0.587096774,155
11/11/2020,1,nio,0.5,44
11/10/2020,-1,nio,0.771428571,35
11/9/2020,1,nio,0.666666667,48
11/6/2020,1,nio,0.714285714,21
11/4/2020,1,nio,0.684210526,38
11/3/2020,1,nio,0.743589744,39
11/2/2020,-1,nio,0.777777778,18
10/30/2020,-1,nio,0.8,10
10/29/2020,1,nio,0.419354839,31
10/28/2020,-1,nio,1,3
10/27/2020,1,nio,0.5,4
10/26/2020,-1,nio,0.2,5
10/23/2020,-1,nio,0.333333333,9
10/22/2020,-1,nio,0.5,4
10/21/2020,-1,nio,0.2,10
10/20/2020,1,nio,0.692307692,13
10/19/2020,-1,nio,0.333333333,3
10/16/2020,-1,nio,0.615384615,26
10/15/2020,1,nio,0.714285714,35
10/14/2020,1,nio,0.568627451,51
10/13/2020,-1,nio,1,1
10/12/2020,-1,nio,0.166666667,12
10/9/2020,-1,nio,1,1
10/7/2020,1,nio,1,2
10/6/2020,-1,nio,1,2
10/5/2020,-1,nio,1,3
10/2/2020,1,nio,1,5
10/1/2020,1,nio,-0.6,10
9/30/2020,-1,nio,0.6,5
9/29/2020,1,nio,0.555555556,9
9/25/2020,1,nio,1,1
9/23/2020,-1,nio,0,2
9/21/2020,-1,nio,-1,2
9/18/2020,-1,nio,1,1
9/17/2020,1,nio,1,2
9/16/2020,-1,nio,0.666666667,6
9/14/2020,1,nio,1,1
9/11/2020,-1,nio,-1,1
9/10/2020,-1,nio,0.333333333,3
9/9/2020,1,nio,0.5,4
9/8/2020,-1,nio,0,4
9/4/2020,-1,nio,0.333333333,3
9/3/2020,-1,nio,1,3
9/2/2020,-1,nio,0.142857143,7
9/1/2020,1,nio,1,1
8/31/2020,1,nio,1,12
8/28/2020,-1,nio,0.6,5
8/27/2020,-1,nio,1,10
8/26/2020,1,nio,0.555555556,27
8/25/2020,1,nio,0.666666667,30
8/24/2020,1,nio,0.6,5
8/21/2020,1,nio,0.6,5
8/20/2020,-1,nio,0.666666667,6
8/19/2020,-1,nio,1,2
8/18/2020,1,nio,1,1
8/17/2020,1,nio,0,2
8/14/2020,-1,nio,1,4
8/13/2020,-1,nio,1,2
8/12/2020,-1,nio,0.428571429,7
8/11/2020,-1,nio,0.666666667,12
8/10/2020,1,nio,0.5,4
8/7/2020,-1,nio,1,3
8/6/2020,-1,nio,0.333333333,3
8/5/2020,1,nio,0.666666667,6
8/4/2020,-1,nio,0.666666667,6
8/3/2020,1,nio,1,6
7/31/2020,-1,nio,1,1
7/30/2020,-1,nio,0.333333333,3
7/27/2020,-1,nio,1,3
7/24/2020,1,nio,1,2
7/23/2020,-1,nio,1,1
7/22/2020,-1,nio,0.6,5
7/21/2020,-1,nio,0.5,4
7/20/2020,1,nio,1,6
7/17/2020,-1,nio,0.529411765,17
7/16/2020,1,nio,0.6,5
7/15/2020,-1,nio,1,8
7/14/2020,1,nio,0.6,5
7/13/2020,-1,nio,0.714285714,14
7/10/2020,-1,nio,0.888888889,18
7/9/2020,1,nio,0.857142857,28
7/8/2020,-1,nio,0.733333333,15
7/7/2020,1,nio,0.222222222,18
7/6/2020,1,nio,0.555555556,18
7/2/2020,1,nio,0,2
7/1/2020,1,nio,1,4
6/30/2020,1,nio,1,2
6/23/2020,-1,nio,1,3
6/22/2020,-1,nio,1,7
6/18/2020,1,nio,1,1
6/17/2020,-1,nio,1,1
6/10/2020,-1,nio,1,1
6/9/2020,1,nio,1,4
6/8/2020,1,nio,0,2
6/5/2020,-1,nio,1,2
6/4/2020,-1,nio,1,2
6/2/2020,1,nio,1,1
5/29/2020,1,nio,1,1
5/28/2020,-1,nio,1,1
5/22/2020,-1,nio,-1,1
5/21/2020,-1,nio,1,1
5/1/2020,-1,nio,-1,1
4/30/2020,-1,nio,1,1
4/29/2020,-1,nio,1,5
4/24/2020,-1,nio,1,1
4/17/2020,-1,nio,1,2
4/16/2020,-1,nio,1,2
4/2/2020,-1,nio,0.333333333,3
4/1/2020,1,nio,0,2
3/25/2020,1,nio,1,1
3/19/2020,1,nio,1,1
3/17/2020,-1,nio,-0.333333333,3
3/16/2020,1,nio,1,1
3/12/2020,1,nio,1,1
3/9/2020,1,nio,1,1
3/6/2020,-1,nio,1,1
3/5/2020,-1,nio,1,3
3/2/2020,-1,nio,1,1
2/28/2020,1,nio,1,2
2/27/2020,1,nio,0.5,4
2/25/2020,-1,nio,0.714285714,14
2/21/2020,-1,nio,1,2
2/20/2020,1,nio,1,6
2/19/2020,1,nio,0.5,4
2/18/2020,-1,nio,1,1
2/14/2020,-1,nio,1,2
2/12/2020,1,nio,-1,1
2/11/2020,1,nio,1,2
2/7/2020,-1,nio,1,1
2/6/2020,-1,nio,-1,1
2/5/2020,1,nio,1,2
2/4/2020,1,nio,0.6,5
2/3/2020,1,nio,1,1
1/30/2020,-1,nio,0.333333333,3
1/29/2020,1,nio,1,2
1/28/2020,-1,nio,1,2
1/27/2020,1,nio,0.2,5
1/23/2020,1,nio,0.6,5
1/22/2020,-1,nio,0.333333333,6
1/21/2020,1,nio,0.777777778,9
1/17/2020,1,nio,0.5,8
1/16/2020,1,nio,0.6,5
1/15/2020,1,nio,0.333333333,12
1/14/2020,1,nio,1,2
1/13/2020,-1,nio,0.333333333,3
1/8/2020,1,nio,1,1
1/6/2020,-1,nio,1,5
1/3/2020,1,nio,1,1
1/2/2020,-1,nio,-1,1
