Date,Direction,Stock,Sentiment,Count
11/12/2020,-1,tsla,0.5,8
11/11/2020,1,tsla,0.428571429,7
11/10/2020,-1,tsla,0.8,10
11/9/2020,-1,tsla,0.75,8
11/6/2020,-1,tsla,1,8
11/4/2020,-1,tsla,1,2
11/3/2020,1,tsla,0.6,5
11/2/2020,1,tsla,1,8
10/30/2020,-1,tsla,0.333333333,12
10/29/2020,1,tsla,0.636363636,11
10/28/2020,-1,tsla,0.333333333,9
10/27/2020,1,tsla,0.666666667,12
10/26/2020,1,tsla,-0.2,10
10/23/2020,-1,tsla,0.222222222,18
10/22/2020,-1,tsla,0.416666667,24
10/21/2020,-1,tsla,0.621621622,37
10/20/2020,-1,tsla,0.5,24
10/19/2020,-1,tsla,1,7
10/16/2020,-1,tsla,0.571428571,14
10/15/2020,-1,tsla,0.523809524,21
10/14/2020,1,tsla,1,14
10/13/2020,1,tsla,0.6,10
10/12/2020,1,tsla,0.565217391,23
10/9/2020,1,tsla,1,3
10/8/2020,-1,tsla,0.578947368,19
10/7/2020,1,tsla,0.8,10
10/6/2020,-1,tsla,0.75,8
10/5/2020,1,tsla,0.692307692,13
10/2/2020,-1,tsla,0.368421053,19
10/1/2020,1,tsla,0.75,16
9/30/2020,1,tsla,0.529411765,17
9/29/2020,1,tsla,0.888888889,18
9/28/2020,-1,tsla,0.714285714,21
9/25/2020,1,tsla,0.666666667,12
9/24/2020,1,tsla,0.612903226,31
9/23/2020,-1,tsla,0.494505495,91
9/22/2020,-1,tsla,0.6,95
9/21/2020,-1,tsla,0.806451613,62
9/18/2020,-1,tsla,0.5,40
9/17/2020,1,tsla,0.722222222,36
9/16/2020,1,tsla,0.575757576,66
9/15/2020,1,tsla,0.575757576,66
9/14/2020,1,tsla,0.75862069,58
9/11/2020,-1,tsla,0.5,32
9/10/2020,-1,tsla,0.4,30
9/9/2020,1,tsla,0.433962264,53
9/8/2020,-1,tsla,0.591240876,137
9/4/2020,1,tsla,0.573033708,89
9/3/2020,-1,tsla,0.503546099,141
9/2/2020,-1,tsla,0.642384106,151
9/1/2020,-1,tsla,0.68,100
8/31/2020,1,tsla,0.761904762,210
8/28/2020,-1,tsla,0.725490196,51
8/27/2020,1,tsla,0.704918033,61
8/26/2020,1,tsla,0.719298246,57
8/25/2020,1,tsla,0.756097561,41
8/24/2020,-1,tsla,0.709090909,55
8/21/2020,1,tsla,0.671232877,73
8/20/2020,1,tsla,0.72815534,103
8/19/2020,1,tsla,0.666666667,42
8/18/2020,-1,tsla,0.548387097,62
8/17/2020,1,tsla,0.571428571,56
