Date, Close/Last, Volume, Open, High, Low,Direction
11/13/2020,$119.26 ,81688590,$119.44 ,$119.67 ,$117.87 ,-1
11/12/2020,$119.21 ,103350700,$119.62 ,$120.53 ,$118.57 ,-1
11/11/2020,$119.49 ,112295000,$117.19 ,$119.63 ,$116.44 ,1
11/10/2020,$115.97 ,138023400,$115.55 ,$117.59 ,$114.13 ,1
11/9/2020,$116.32 ,154515300,$120.50 ,$121.99 ,$116.05 ,-1
11/6/2020,$118.69 ,114457900,$118.32 ,$119.20 ,$116.13 ,1
11/5/2020,$119.03 ,126387100,$117.95 ,$119.62 ,$116.87 ,1
11/4/2020,$114.95 ,138235500,$114.14 ,$115.59 ,$112.35 ,1
11/3/2020,$110.44 ,107624400,$109.66 ,$111.49 ,$108.73 ,1
11/2/2020,$108.77 ,122866900,$109.11 ,$110.68 ,$107.32 ,-1
10/30/2020,$108.86 ,190573500,$111.06 ,$111.99 ,$107.72 ,-1
10/29/2020,$115.32 ,146129200,$112.37 ,$116.93 ,$112.20 ,1
10/28/2020,$111.20 ,143937800,$115.05 ,$115.43 ,$111.10 ,-1
10/27/2020,$116.60 ,92276770,$115.49 ,$117.28 ,$114.54 ,1
10/26/2020,$115.05 ,111850700,$114.01 ,$116.55 ,$112.88 ,1
10/23/2020,$115.04 ,82572650,$116.39 ,$116.55 ,$114.28 ,-1
10/22/2020,$115.75 ,101988000,$117.45 ,$118.04 ,$114.59 ,-1
10/21/2020,$116.87 ,89945980,$116.67 ,$118.71 ,$116.45 ,1
10/20/2020,$117.51 ,124423700,$116.20 ,$118.98 ,$115.63 ,1
10/19/2020,$115.98 ,120639300,$119.96 ,$120.42 ,$115.66 ,-1
10/16/2020,$119.02 ,115393800,$121.28 ,$121.55 ,$118.81 ,-1
10/15/2020,$120.71 ,112559200,$118.72 ,$121.20 ,$118.15 ,1
10/14/2020,$121.19 ,151062300,$121 ,$123.03 ,$119.62 ,1
10/13/2020,$121.10 ,262330500,$125.27 ,$125.39 ,$119.65 ,-1
10/12/2020,$124.40 ,240226800,$120.06 ,$125.18 ,$119.28 ,1
10/9/2020,$116.97 ,100506900,$115.28 ,$117 ,$114.92 ,1
10/8/2020,$114.97 ,83477150,$116.25 ,$116.40 ,$114.59 ,-1
10/7/2020,$115.08 ,96848990,$114.62 ,$115.55 ,$114.13 ,1
10/6/2020,$113.16 ,161498200,$115.70 ,$116.12 ,$112.25 ,-1
10/5/2020,$116.50 ,106243800,$113.91 ,$116.65 ,$113.55 ,1
10/2/2020,$113.02 ,144712000,$112.89 ,$115.37 ,$112.22 ,1
10/1/2020,$116.79 ,116120400,$117.64 ,$117.72 ,$115.83 ,-1
9/30/2020,$115.81 ,142675200,$113.79 ,$117.26 ,$113.62 ,1
9/29/2020,$114.09 ,100060500,$114.55 ,$115.31 ,$113.57 ,-1
9/28/2020,$114.96 ,137672400,$115.01 ,$115.32 ,$112.78 ,-1
9/25/2020,$112.28 ,149981400,$108.43 ,$112.44 ,$107.67 ,1
9/24/2020,$108.22 ,167743300,$105.17 ,$110.25 ,$105 ,1
9/23/2020,$107.12 ,150718700,$111.62 ,$112.11 ,$106.77 ,-1
9/22/2020,$111.81 ,183055400,$112.68 ,$112.86 ,$109.16 ,-1
9/21/2020,$110.08 ,195713800,$104.54 ,$110.19 ,$103.10 ,1
9/18/2020,$106.84 ,287104900,$110.40 ,$110.88 ,$106.09 ,-1
9/17/2020,$110.34 ,178011000,$109.72 ,$112.20 ,$108.71 ,1
9/16/2020,$112.13 ,155026700,$115.23 ,$116 ,$112.04 ,-1
9/15/2020,$115.54 ,184642000,$118.33 ,$118.83 ,$113.61 ,-1
9/14/2020,$115.36 ,140150100,$114.72 ,$115.93 ,$112.80 ,1
9/11/2020,$112 ,180860300,$114.57 ,$115.23 ,$110 ,-1
9/10/2020,$113.49 ,182274400,$120.36 ,$120.50 ,$112.50 ,-1
9/9/2020,$117.32 ,176940500,$117.26 ,$119.14 ,$115.26 ,1
9/8/2020,$112.82 ,231366600,$113.95 ,$118.99 ,$112.68 ,-1
9/4/2020,$120.96 ,332607200,$120.07 ,$123.70 ,$110.89 ,1
9/3/2020,$120.88 ,257599600,$126.91 ,$128.84 ,$120.50 ,-1
9/2/2020,$131.40 ,200119000,$137.59 ,$137.98 ,$127 ,-1
9/1/2020,$134.18 ,152470100,$132.76 ,$134.80 ,$130.53 ,1
8/31/2020,$129.04 ,225702700,$127.58 ,$131 ,$126 ,1
8/28/2020,$124.81 ,187629920,$126.01 ,$126.44 ,$124.58 ,-1
8/27/2020,$125.01 ,155552400,$127.14 ,$127.49 ,$123.83 ,-1
8/26/2020,$126.52 ,163022280,$126.18 ,$126.99 ,$125.08 ,1
8/25/2020,$124.83 ,211495800,$124.70 ,$125.18 ,$123.05 ,1
8/24/2020,$125.86 ,345937760,$128.70 ,$128.79 ,$123.94 ,-1
8/21/2020,$124.37 ,338054640,$119.26 ,$124.87 ,$119.25 ,1
8/20/2020,$118.28 ,126907200,$115.75 ,$118.39 ,$115.73 ,1
8/19/2020,$115.71 ,145538000,$115.98 ,$117.16 ,$115.61 ,-1
8/18/2020,$115.56 ,105633560,$114.35 ,$116 ,$114.01 ,1
8/17/2020,$114.61 ,119561440,$116.06 ,$116.09 ,$113.96 ,-1
8/14/2020,$114.91 ,165565200,$114.83 ,$115 ,$113.05 ,1
8/13/2020,$115.01 ,210082080,$114.43 ,$116.04 ,$113.93 ,1
8/12/2020,$113.01 ,165944840,$110.50 ,$113.28 ,$110.30 ,1
8/11/2020,$109.38 ,187902360,$111.97 ,$112.48 ,$109.11 ,-1
8/10/2020,$112.73 ,212403440,$112.60 ,$113.78 ,$110 ,1
8/7/2020,$111.11 ,198045600,$113.21 ,$113.68 ,$110.29 ,-1
8/6/2020,$113.90 ,202428920,$110.41 ,$114.41 ,$109.80 ,1
8/5/2020,$110.06 ,121991960,$109.38 ,$110.39 ,$108.90 ,1
8/4/2020,$109.67 ,172792360,$109.13 ,$110.79 ,$108.39 ,1
8/3/2020,$108.94 ,308151400,$108.20 ,$111.64 ,$107.89 ,1
7/31/2020,$106.26 ,374295480,$102.88 ,$106.42 ,$100.83 ,1
7/30/2020,$96.19 ,158130040,$94.19 ,$96.30 ,$93.77 ,1
7/29/2020,$95.04 ,90329240,$93.75 ,$95.23 ,$93.71 ,1
7/28/2020,$93.25 ,103625520,$94.37 ,$94.55 ,$93.25 ,-1
7/27/2020,$94.81 ,121214200,$93.71 ,$94.91 ,$93.48 ,1
7/24/2020,$92.62 ,185438880,$90.99 ,$92.97 ,$89.15 ,1
7/23/2020,$92.85 ,197004440,$97.00 ,$97.08 ,$92.01 ,-1
7/22/2020,$97.27 ,89001640,$96.69 ,$97.98 ,$96.60 ,1
7/21/2020,$97 ,103645840,$99.17 ,$99.25 ,$96.74 ,-1
7/20/2020,$98.36 ,90317920,$96.42 ,$98.50 ,$96.06 ,1
7/17/2020,$96.33 ,92186920,$96.99 ,$97.15 ,$95.84 ,-1
7/16/2020,$96.52 ,110577680,$96.56 ,$97.41 ,$95.91 ,-1
7/15/2020,$97.73 ,153197920,$98.99 ,$99.25 ,$96.49 ,-1
7/14/2020,$97.06 ,170989360,$94.84 ,$97.26 ,$93.88 ,1
7/13/2020,$95.48 ,191649160,$97.27 ,$99.96 ,$95.26 ,-1
7/10/2020,$95.92 ,90257320,$95.34 ,$95.98 ,$94.71 ,1
7/9/2020,$95.68 ,125642600,$96.26 ,$96.32 ,$94.67 ,-1
7/8/2020,$95.34 ,117091880,$94.18 ,$95.38 ,$94.09 ,1
7/7/2020,$93.17 ,112424440,$93.85 ,$94.66 ,$93.06 ,-1
