Date, Close/Last, Volume, Open, High, Low,Direction
11/13/2020,"$3,128.81 ",3762587,"$3,122 ","$3,141.72 ","$3,085.39 ",1
11/12/2020,"$3,110.28 ",4371208,"$3,159.95 ","$3,175.88 ","$3,086.05 ",-1
11/11/2020,"$3,137.39 ",4366923,"$3,061.78 ","$3,139.15 ","$3,050 ",1
11/10/2020,"$3,035.02 ",6590956,"$3,095.02 ","$3,114 ","$3,019.48 ",-1
11/9/2020,"$3,143.74 ",7190406,"$3,231.03 ","$3,289 ","$3,112.11 ",-1
11/6/2020,"$3,311.37 ",4647330,"$3,304.64 ","$3,322 ","$3,232 ",1
11/5/2020,"$3,322 ",5789285,"$3,319.97 ","$3,366.80 ","$3,288.88 ",1
11/4/2020,"$3,241.16 ",6839041,"$3,159.99 ","$3,244.85 ","$3,139.73 ",1
11/3/2020,"$3,048.41 ",4897880,"$3,018.53 ","$3,074.90 ","$2,980.98 ",1
11/2/2020,"$3,004.48 ",7257350,"$3,061.74 ","$3,079.71 ","$2,950.12 ",-1
10/30/2020,"$3,036.15 ",8396081,"$3,157.75 ","$3,167.00 ","$3,019 ",-1
10/29/2020,"$3,211.01 ",6596529,"$3,201.27 ","$3,257.25 ","$3,164 ",1
10/28/2020,"$3,162.78 ",5588330,"$3,249.30 ","$3,264.02 ","$3,162.47 ",-1
10/27/2020,"$3,286.33 ",4291047,"$3,224.94 ","$3,291.66 ","$3,211.30 ",1
10/26/2020,"$3,207.04 ",5901151,"$3,198.74 ","$3,282.98 ","$3,153.30 ",1
10/23/2020,"$3,204.40 ",3466687,"$3,191 ","$3,205.33 ","$3,140 ",1
10/22/2020,"$3,176.40 ",4212005,"$3,189.87 ","$3,198.75 ","$3,121.94 ",-1
10/21/2020,"$3,184.94 ",4592736,"$3,212.50 ","$3,233.88 ","$3,160 ",-1
10/20/2020,"$3,217.01 ",4509678,"$3,222.28 ","$3,266 ","$3,192.01 ",-1
10/19/2020,"$3,207.21 ",5223626,"$3,299.61 ","$3,329 ","$3,192.74 ",-1
10/16/2020,"$3,272.71 ",6474353,"$3,363.23 ","$3,399.66 ","$3,160 ",-1
10/15/2020,"$3,338.65 ",5223448,"$3,292.01 ","$3,355.88 ","$3,280 ",1
10/14/2020,"$3,363.71 ",5828916,"$3,447 ","$3,464.88 ","$3,340 ",-1
10/13/2020,"$3,443.63 ",5744697,"$3,467.99 ","$3,492.38 ","$3,424.22 ",-1
10/12/2020,"$3,442.93 ",8364198,"$3,349.94 ","$3,496.24 ","$3,339.55 ",1
10/9/2020,"$3,286.65 ",4907871,"$3,210 ","$3,288.99 ","$3,197.83 ",1
10/8/2020,"$3,190.55 ",3174114,"$3,224.99 ","$3,233.29 ","$3,174.99 ",-1
10/7/2020,"$3,195.69 ",4309439,"$3,135 ","$3,200 ","$3,132.39 ",1
10/6/2020,"$3,099.96 ",5086857,"$3,165 ","$3,182 ","$3,090 ",-1
10/5/2020,"$3,199.20 ",3775332,"$3,145.84 ","$3,202.53 ","$3,140.85 ",1
10/2/2020,"$3,125 ",5613098,"$3,153.63 ","$3,195.80 ","$3,123 ",-1
10/1/2020,"$3,221.26 ",4971922,"$3,208 ","$3,224 ","$3,172 ",1
9/30/2020,"$3,148.73 ",4896101,"$3,141.14 ","$3,212.88 ","$3,133.99 ",1
9/29/2020,"$3,144.88 ",3503398,"$3,175.39 ","$3,188.26 ","$3,132.54 ",-1
9/28/2020,"$3,174.05 ",4224165,"$3,148.85 ","$3,175.04 ","$3,117.17 ",1
9/25/2020,"$3,095.13 ",4615202,"$3,054.86 ","$3,101.54 ","$2,999 ",1
9/24/2020,"$3,019.79 ",5529392,"$2,977.79 ","$3,069.30 ","$2,965 ",1
9/23/2020,"$2,999.86 ",5652665,"$3,120.43 ","$3,127.00 ","$2,992.38 ",-1
9/22/2020,"$3,128.99 ",6948816,"$3,033.84 ","$3,133.99 ","$3,000.20 ",1
9/21/2020,"$2,960.47 ",6117925,"$2,906.50 ","$2,962 ","$2,871 ",1
9/18/2020,"$2,954.91 ",8892580,"$3,031.74 ","$3,037.80 ","$2,905.54 ",-1
9/17/2020,"$3,008.73 ",6449050,"$3,009.25 ","$3,029.43 ","$2,972.55 ",-1
9/16/2020,"$3,078.10 ",4531189,"$3,179.99 ","$3,187.24 ","$3,074.15 ",-1
9/15/2020,"$3,156.13 ",4021535,"$3,136.16 ","$3,175.02 ","$3,108.92 ",1
9/14/2020,"$3,102.97 ",4529596,"$3,172.94 ","$3,187.39 ","$3,096 ",-1
9/11/2020,"$3,116.22 ",5093982,"$3,208.69 ","$3,217.34 ","$3,083.98 ",-1
9/10/2020,"$3,175.11 ",5330741,"$3,307.22 ","$3,349.89 ","$3,170.55 ",-1
9/9/2020,"$3,268.61 ",5188675,"$3,202.99 ","$3,303.18 ","$3,185 ",1
9/8/2020,"$3,149.84 ",6094205,"$3,144 ","$3,250.85 ","$3,130 ",1
9/4/2020,"$3,294.62 ",8781754,"$3,318 ","$3,381.50 ","$3,111.13 ",-1
9/3/2020,"$3,368 ",8161113,"$3,485 ","$3,488.41 ","$3,303 ",-1
9/2/2020,"$3,531.45 ",3931476,"$3,547 ","$3,552.25 ","$3,486.69 ",-1
9/1/2020,"$3,499.12 ",3476407,"$3,489.58 ","$3,513.87 ","$3,467 ",1
8/31/2020,"$3,450.96 ",4185885,"$3,408.99 ","$3,495 ","$3,405 ",1
8/28/2020,"$3,401.80 ",2896978,"$3,423 ","$3,433.37 ","$3,386.50 ",-1
8/27/2020,"$3,400 ",4264795,"$3,450.05 ","$3,453 ","$3,378 ",-1
8/26/2020,"$3,441.85 ",6508743,"$3,351.11 ","$3,451.74 ","$3,344.57 ",1
8/25/2020,"$3,346.49 ",3992842,"$3,294.99 ","$3,357.40 ","$3,267 ",1
8/24/2020,"$3,307.46 ",4666258,"$3,310.15 ","$3,380.32 ","$3,257.56 ",-1
8/21/2020,"$3,284.72 ",3575862,"$3,295 ","$3,314.40 ","$3,275.39 ",-1
8/20/2020,"$3,297.37 ",3332478,"$3,252 ","$3,312.62 ","$3,238 ",1
8/19/2020,"$3,260.48 ",4185137,"$3,303.01 ","$3,315.90 ","$3,256.00 ",-1
8/18/2020,"$3,312.49 ",5345974,"$3,212 ","$3,320 ","$3,205.82 ",1
8/17/2020,"$3,182.41 ",2691237,"$3,173.12 ","$3,194.97 ","$3,154.18 ",1
8/14/2020,"$3,148.02 ",2751723,"$3,178.18 ","$3,178.24 ","$3,120 ",-1
8/13/2020,"$3,161.02 ",3149043,"$3,182.99 ","$3,217.52 ","$3,155 ",-1
8/12/2020,"$3,162.24 ",3527229,"$3,108 ","$3,174.39 ","$3,101.42 ",1
8/11/2020,"$3,080.67 ",3718057,"$3,113.20 ","$3,159.22 ","$3,073 ",-1
8/10/2020,"$3,148.16 ",3167274,"$3,170.31 ","$3,172.51 ","$3,101.52 ",-1
8/7/2020,"$3,167.46 ",3936127,"$3,224.01 ","$3,240.81 ","$3,140.67 ",-1
8/6/2020,"$3,225 ",3940602,"$3,194.36 ","$3,247.47 ","$3,165.43 ",1
8/5/2020,"$3,205.03 ",3930025,"$3,143.77 ","$3,213.59 ","$3,127.30 ",1
8/4/2020,"$3,138.83 ",4694294,"$3,101.21 ","$3,167.24 ","$3,101.21 ",1
8/3/2020,"$3,111.89 ",5074663,"$3,180.51 ","$3,184 ","$3,104 ",-1
