Date, Close/Last, Volume, Open, High, Low,Direction
11/13/2020,$44.56 ,579069900,$51.29 ,$54.20 ,$40.55 ,-1
11/12/2020,$48.30 ,348326300,$44.48 ,$49.35 ,$43.95 ,1
11/11/2020,$43.08 ,179581200,$39.71 ,$43.23 ,$38.64 ,1
11/10/2020,$41.55 ,237403600,$44.50 ,$45.20 ,$38.11 ,-1
11/9/2020,$44.02 ,218733300,$41.65 ,$45.29 ,$40.38 ,1
11/6/2020,$41.63 ,288784300,$41.09 ,$43.30 ,$40.05 ,1
11/5/2020,$42.35 ,302472600,$38.78 ,$42.49 ,$38.25 ,1
11/4/2020,$37.71 ,339385900,$37.44 ,$39.75 ,$35.82 ,1
11/3/2020,$35.50 ,217608100,$33.57 ,$35.87 ,$32.78 ,1
11/2/2020,$33.32 ,265719900,$33.95 ,$34.94 ,$31.68 ,-1
10/30/2020,$30.58 ,136902600,$31.39 ,$31.59 ,$30.03 ,-1
10/29/2020,$31.99 ,214034700,$28.52 ,$32.20 ,$28.32 ,1
10/28/2020,$27.51 ,89374940,$27.92 ,$28.10 ,$26.51 ,-1
10/27/2020,$28.44 ,104257700,$26.21 ,$28.46 ,$26.03 ,1
10/26/2020,$26.01 ,72610350,$26.61 ,$27.35 ,$25.46 ,-1
10/23/2020,$27.16 ,51784050,$27.37 ,$27.42 ,$26.48 ,-1
10/22/2020,$27.38 ,72173310,$28.15 ,$28.28 ,$26.81 ,-1
10/21/2020,$27.86 ,65357930,$27.90 ,$28.43 ,$27.39 ,-1
10/20/2020,$27.96 ,105233400,$27.42 ,$28.30 ,$27.05 ,1
10/19/2020,$27.63 ,115708700,$28.21 ,$28.56 ,$27.22 ,-1
10/16/2020,$28.48 ,186764700,$29.18 ,$29.40 ,$27.94 ,-1
10/15/2020,$28.07 ,385210600,$27.20 ,$29.23 ,$25.78 ,1
10/14/2020,$26.50 ,387903300,$23.98 ,$26.96 ,$23.73 ,1
10/13/2020,$21.62 ,42581460,$21.86 ,$21.97 ,$21.17 ,-1
10/12/2020,$21.85 ,45476830,$21.88 ,$22.18 ,$21.55 ,-1
10/9/2020,$21.47 ,37328970,$21.62 ,$21.74 ,$21.32 ,-1
10/8/2020,$21.44 ,77719580,$22.05 ,$22.45 ,$21.29 ,-1
10/7/2020,$21.56 ,59354280,$21.06 ,$21.77 ,$20.79 ,1
10/6/2020,$20.67 ,73217120,$21.71 ,$21.94 ,$20.60 ,-1
10/5/2020,$21.59 ,60860110,$21.66 ,$21.92 ,$21.07 ,-1
10/2/2020,$21.18 ,92713560,$20.83 ,$22.20 ,$20.80 ,1
10/1/2020,$21.76 ,79117100,$21.68 ,$21.96 ,$20.83 ,1
9/30/2020,$21.22 ,183530500,$21.72 ,$22.59 ,$20.76 ,-1
9/29/2020,$20.85 ,164378500,$18.76 ,$21.12 ,$18.71 ,1
9/28/2020,$18.81 ,42786230,$18.88 ,$19.16 ,$18.43 ,-1
9/25/2020,$18.32 ,44122150,$18.02 ,$18.62 ,$17.95 ,1
9/24/2020,$17.85 ,71069510,$17.32 ,$18.39 ,$16.75 ,1
9/23/2020,$17.96 ,70568090,$19.22 ,$19.36 ,$17.80 ,-1
9/22/2020,$19.23 ,61061120,$18.48 ,$19.45 ,$18.37 ,1
9/21/2020,$18.81 ,75969550,$19.05 ,$19.27 ,$17.66 ,-1
9/18/2020,$19.41 ,54885510,$19.72 ,$19.88 ,$18.94 ,-1
9/17/2020,$19.30 ,55186590,$18.26 ,$19.33 ,$18.08 ,1
9/16/2020,$19.01 ,57845790,$19.27 ,$19.54 ,$18.52 ,-1
9/15/2020,$19.19 ,111630500,$19.10 ,$20.25 ,$18.88 ,1
9/14/2020,$18.73 ,68234900,$18.18 ,$18.78 ,$17.90 ,1
9/11/2020,$17.97 ,55373490,$18 ,$18.10 ,$17.45 ,-1
9/10/2020,$17.74 ,79679830,$18.49 ,$18.72 ,$17.49 ,-1
9/9/2020,$18.09 ,90988420,$17.90 ,$18.63 ,$17.70 ,1
9/8/2020,$17.03 ,89624570,$17.17 ,$17.86 ,$16.51 ,-1
9/4/2020,$17.98 ,163329800,$18.54 ,$19.18 ,$15.61 ,-1
9/3/2020,$18.70 ,128358400,$19.09 ,$19.84 ,$18.35 ,-1
9/2/2020,$19.90 ,153460600,$20.92 ,$21.05 ,$18.50 ,-1
9/1/2020,$20.12 ,137644800,$19.45 ,$20.38 ,$18.75 ,1
8/31/2020,$19.03 ,226610900,$17.19 ,$19.83 ,$16.82 ,1
8/28/2020,$18.50 ,155242300,$18.87 ,$19.44 ,$18.11 ,-1
8/27/2020,$19.88 ,199850300,$19.99 ,$20.47 ,$18.76 ,-1
8/26/2020,$20.44 ,364104600,$19.01 ,$20.97 ,$18.56 ,1
8/25/2020,$17.84 ,299047800,$15.08 ,$17.87 ,$15.06 ,1
8/24/2020,$14.97 ,98697700,$14.63 ,$14.98 ,$14.31 ,1
8/21/2020,$14.12 ,70189910,$13.64 ,$14.58 ,$13.62 ,1
8/20/2020,$13.78 ,50072790,$13.85 ,$14.05 ,$13.53 ,-1
8/19/2020,$14.06 ,41966840,$14.29 ,$14.41 ,$13.85 ,-1
8/18/2020,$14.30 ,69962360,$14.23 ,$14.69 ,$13.87 ,1
8/17/2020,$14.05 ,78340480,$13.07 ,$14.05 ,$13.06 ,1
8/14/2020,$13.10 ,63250750,$13.18 ,$13.18 ,$12.54 ,-1
8/13/2020,$13.36 ,50093550,$13.45 ,$13.64 ,$13.17 ,-1
8/12/2020,$13.36 ,77471430,$13.37 ,$13.45 ,$12.67 ,-1
8/11/2020,$12.99 ,181311500,$15.30 ,$15.45 ,$12.94 ,-1
8/10/2020,$14.21 ,84267290,$13.94 ,$14.42 ,$13.68 ,1
8/7/2020,$13.42 ,57745960,$13.54 ,$13.73 ,$13.20 ,-1
8/6/2020,$13.84 ,49787710,$14.10 ,$14.31 ,$13.52 ,-1
8/5/2020,$13.92 ,60375030,$13.41 ,$14.08 ,$13.37 ,1
8/4/2020,$13.64 ,125731400,$14.46 ,$14.53 ,$13.22 ,-1
8/3/2020,$13.60 ,122925300,$12.53 ,$13.67 ,$12.46 ,1
7/31/2020,$11.94 ,61813810,$12.41 ,$12.59 ,$11.73 ,-1
7/30/2020,$12.20 ,64952910,$12.62 ,$12.95 ,$12.07 ,-1
7/29/2020,$12.70 ,69552560,$12.65 ,$13 ,$12.43 ,1
7/28/2020,$12.27 ,90075810,$11.48 ,$12.64 ,$11.38 ,1
7/27/2020,$11.69 ,64068520,$12.03 ,$12.09 ,$11.27 ,-1
7/24/2020,$11.82 ,93425300,$11.38 ,$11.90 ,$10.91 ,1
7/23/2020,$12.15 ,95206300,$12.59 ,$12.63 ,$11.85 ,-1
7/22/2020,$12.38 ,112260500,$12.38 ,$12.83 ,$11.81 ,-1
7/21/2020,$12.88 ,128389100,$13.45 ,$13.58 ,$12.62 ,-1
7/20/2020,$12.82 ,155428100,$11.42 ,$12.84 ,$11.38 ,1
7/17/2020,$11.09 ,290406300,$11.86 ,$12.07 ,$10.46 ,-1
7/16/2020,$12.94 ,134606300,$12.46 ,$13.16 ,$12.45 ,1
7/15/2020,$13.52 ,114603700,$13.82 ,$13.95 ,$12.85 ,-1
7/14/2020,$14.09 ,196123200,$13.25 ,$14.13 ,$12.42 ,1
7/13/2020,$13.84 ,313460300,$15.26 ,$16.44 ,$13.61 ,-1
7/10/2020,$14.98 ,318851300,$15.61 ,$15.73 ,$14.20 ,-1
7/9/2020,$14.57 ,316792000,$13.50 ,$14.63 ,$13.07 ,1
7/8/2020,$12.88 ,570911400,$14.10 ,$15.28 ,$12 ,-1
7/7/2020,$13.22 ,444070500,$11.26 ,$13.77 ,$10.70 ,1
7/6/2020,$11.51 ,329223800,$11.05 ,$12.30 ,$10.93 ,1
7/2/2020,$9.38 ,221496700,$9.05 ,$9.40 ,$8.70 ,1
